gbd_cause_id_3_ml,gbd_indication_name_3,canonical_model_ta,canonical_model_ta_code,sort_order,observed_rows_total,observed_tas,observed_rows_by_ta
588,Acute glomerulonephritis,Renal/Urology,RENAL/UROLOGY,250,18,RENAL/UROLOGY,"{""RENAL/UROLOGY"": 18}"
654,Dermatitis,Dermatology,DERMATOLOGY,252,535,DERMATOLOGY|RESPIRATORY,"{""DERMATOLOGY"": 534, ""RESPIRATORY"": 1}"
655,Psoriasis,Immunology,IMMUNOLOGY,256,534,DERMATOLOGY|IMMUNOLOGY|MUSCULOSKELETAL,"{""DERMATOLOGY"": 532, ""IMMUNOLOGY"": 1, ""MUSCULOSKELETAL"": 1}"
980,Bacterial skin diseases,Dermatology,DERMATOLOGY,257,93,DERMATOLOGY|INFECTIONS|MUSCULOSKELETAL|OPHTHALMOLOGY,"{""DERMATOLOGY"": 69, ""INFECTIONS"": 18, ""MUSCULOSKELETAL"": 1, ""OPHTHALMOLOGY"": 5}"
658,Scabies,Dermatology,DERMATOLOGY,260,17,DERMATOLOGY,"{""DERMATOLOGY"": 17}"
659,Fungal skin diseases,Dermatology,DERMATOLOGY,261,80,DERMATOLOGY|EAR/NOSE/THROAT|INFECTIONS|REPRODUCTIVE,"{""DERMATOLOGY"": 75, ""EAR/NOSE/THROAT"": 1, ""INFECTIONS"": 2, ""REPRODUCTIVE"": 2}"
660,Viral skin diseases,Dermatology,DERMATOLOGY,262,43,DERMATOLOGY|INFECTIONS|OPHTHALMOLOGY,"{""DERMATOLOGY"": 41, ""INFECTIONS"": 1, ""OPHTHALMOLOGY"": 1}"
661,Acne vulgaris,Dermatology,DERMATOLOGY,263,162,DERMATOLOGY,"{""DERMATOLOGY"": 162}"
662,Alopecia areata,Dermatology,DERMATOLOGY,264,77,DERMATOLOGY,"{""DERMATOLOGY"": 77}"
663,Pruritus,Dermatology,DERMATOLOGY,265,53,DERMATOLOGY|RENAL/UROLOGY,"{""DERMATOLOGY"": 39, ""RENAL/UROLOGY"": 14}"
664,Urticaria,Dermatology,DERMATOLOGY,266,64,DERMATOLOGY,"{""DERMATOLOGY"": 64}"
665,Decubitus ulcer,Dermatology,DERMATOLOGY,267,23,DERMATOLOGY,"{""DERMATOLOGY"": 23}"
668,Other skin and subcutaneous diseases,Dermatology,DERMATOLOGY,268,665,DERMATOLOGY|METABOLIC|OPHTHALMOLOGY,"{""DERMATOLOGY"": 663, ""METABOLIC"": 1, ""OPHTHALMOLOGY"": 1}"
981,Blindness and vision loss,Ophthalmology,OPHTHALMOLOGY,270,896,OPHTHALMOLOGY,"{""OPHTHALMOLOGY"": 896}"
674,Age-related and other hearing loss,Ear/Nose/Throat,EAR/NOSE/THROAT,277,18,EAR/NOSE/THROAT,"{""EAR/NOSE/THROAT"": 18}"
679,Other sense organ diseases,Ophthalmology,OPHTHALMOLOGY,278,677,EAR/NOSE/THROAT|NEUROLOGY|OPHTHALMOLOGY|UNCLASSIFIED,"{""EAR/NOSE/THROAT"": 81, ""NEUROLOGY"": 1, ""OPHTHALMOLOGY"": 594, ""UNCLASSIFIED"": 1}"
627,Rheumatoid arthritis,Immunology,IMMUNOLOGY,280,482,IMMUNOLOGY|MUSCULOSKELETAL,"{""IMMUNOLOGY"": 2, ""MUSCULOSKELETAL"": 480}"
628,Osteoarthritis,Musculoskeletal,MUSCULOSKELETAL,281,388,MUSCULOSKELETAL,"{""MUSCULOSKELETAL"": 388}"
630,Low back pain,Musculoskeletal,MUSCULOSKELETAL,286,133,GASTROINTESTINAL|MUSCULOSKELETAL|NEUROLOGY,"{""GASTROINTESTINAL"": 2, ""MUSCULOSKELETAL"": 130, ""NEUROLOGY"": 1}"
631,Neck pain,Musculoskeletal,MUSCULOSKELETAL,287,2,MUSCULOSKELETAL,"{""MUSCULOSKELETAL"": 2}"
632,Gout,Musculoskeletal,MUSCULOSKELETAL,288,113,MUSCULOSKELETAL,"{""MUSCULOSKELETAL"": 113}"
639,Other musculoskeletal disorders,Musculoskeletal,MUSCULOSKELETAL,289,844,GENETIC|MUSCULOSKELETAL|NEUROLOGY,"{""GENETIC"": 2, ""MUSCULOSKELETAL"": 841, ""NEUROLOGY"": 1}"
