gbd_cause_id_3_ml,gbd_indication_name_3,canonical_model_ta,canonical_model_ta_code,sort_order,observed_rows_total,observed_tas,observed_rows_by_ta
489,Other malignant neoplasms,Oncology,ONCOLOGY,148,1672,GASTROINTESTINAL|GENETIC|HEMATOLOGY|INFECTIONS|MUSCULOSKELETAL|ONCOLOGY|UNCLASSIFIED,"{""GASTROINTESTINAL"": 1, ""GENETIC"": 1, ""HEMATOLOGY"": 27, ""INFECTIONS"": 2, ""MUSCULOSKELETAL"": 1, ""ONCOLOGY"": 1639, ""UNCLASSIFIED"": 1}"
490,Other neoplasms,Oncology,ONCOLOGY,149,288,DERMATOLOGY|GASTROINTESTINAL|GENETIC|HEMATOLOGY|MUSCULOSKELETAL|ONCOLOGY|REPRODUCTIVE|RESPIRATORY|UNCLASSIFIED,"{""DERMATOLOGY"": 4, ""GASTROINTESTINAL"": 4, ""GENETIC"": 4, ""HEMATOLOGY"": 178, ""MUSCULOSKELETAL"": 2, ""ONCOLOGY"": 92, ""REPRODUCTIVE"": 2, ""RESPIRATORY"": 1, ""UNCLASSIFIED"": 1}"
492,Rheumatic heart disease,Cardiovascular,CARDIOVASCULAR,155,0,,{}
493,Ischemic heart disease,Cardiovascular,CARDIOVASCULAR,156,343,CARDIOVASCULAR,"{""CARDIOVASCULAR"": 343}"
494,Stroke,Cardiovascular,CARDIOVASCULAR,157,162,CARDIOVASCULAR|NEUROLOGY,"{""CARDIOVASCULAR"": 98, ""NEUROLOGY"": 64}"
498,Hypertensive heart disease,Cardiovascular,CARDIOVASCULAR,161,143,CARDIOVASCULAR,"{""CARDIOVASCULAR"": 143}"
504,Non-rheumatic valvular heart disease,Cardiovascular,CARDIOVASCULAR,162,5,CARDIOVASCULAR,"{""CARDIOVASCULAR"": 5}"
499,Cardiomyopathy and myocarditis,Cardiovascular,CARDIOVASCULAR,166,75,CARDIOVASCULAR,"{""CARDIOVASCULAR"": 75}"
1004,Pulmonary Arterial Hypertension,Cardiovascular,CARDIOVASCULAR,170,182,CARDIOVASCULAR,"{""CARDIOVASCULAR"": 182}"
500,Atrial fibrillation and flutter,Cardiovascular,CARDIOVASCULAR,171,53,CARDIOVASCULAR,"{""CARDIOVASCULAR"": 53}"
501,Aortic aneurysm,Cardiovascular,CARDIOVASCULAR,172,3,CARDIOVASCULAR,"{""CARDIOVASCULAR"": 3}"
502,Lower extremity peripheral arterial disease,Cardiovascular,CARDIOVASCULAR,173,63,CARDIOVASCULAR,"{""CARDIOVASCULAR"": 63}"
503,Endocarditis,Cardiovascular,CARDIOVASCULAR,174,2,CARDIOVASCULAR,"{""CARDIOVASCULAR"": 2}"
