FULL DATASET AUDIT: 59888 Rows, 147 Columns
================================================================================
COLUMN NAME                         | TYPE       | MISSING %  | UNIQUE   | EXAMPLE / STATS
emb_29                              | float64    | 0.0      % | 49897    | Mean: -0.02 | Max: 1.5145755 
emb_30                              | float64    | 0.0      % | 49890    | Mean: -0.00 | Max: 1.2132018 
emb_31                              | float64    | 0.0      % | 49893    | Mean: 0.00 | Max: 1.391079 
emb_32                              | float64    | 0.0      % | 49880    | Mean: -0.02 | Max: 1.4234222 
emb_33                              | float64    | 0.0      % | 49892    | Mean: 0.00 | Max: 1.3963989 
emb_34                              | float64    | 0.0      % | 49889    | Mean: 0.00 | Max: 1.5072639 
emb_35                              | float64    | 0.0      % | 49892    | Mean: -0.00 | Max: 1.7049189 
emb_36                              | float64    | 0.0      % | 49895    | Mean: 0.00 | Max: 1.2502354 
emb_37                              | float64    | 0.0      % | 49889    | Mean: 0.01 | Max: 1.3835496 
emb_38                              | float64    | 0.0      % | 49895    | Mean: 0.00 | Max: 1.4614555 
emb_39                              | float64    | 0.0      % | 49888    | Mean: -0.01 | Max: 1.372006 
emb_40                              | float64    | 0.0      % | 49893    | Mean: 0.01 | Max: 1.2454785 
emb_41                              | float64    | 0.0      % | 49895    | Mean: 0.00 | Max: 1.0810157 
emb_42                              | float64    | 0.0      % | 49894    | Mean: 0.00 | Max: 1.1196676 
emb_43                              | float64    | 0.0      % | 49891    | Mean: -0.01 | Max: 1.1278594 
emb_44                              | float64    | 0.0      % | 49890    | Mean: 0.01 | Max: 1.0533546 
emb_45                              | float64    | 0.0      % | 49893    | Mean: -0.01 | Max: 1.0130066 
emb_46                              | float64    | 0.0      % | 49897    | Mean: 0.00 | Max: 1.0717704 
emb_47                              | float64    | 0.0      % | 49891    | Mean: 0.01 | Max: 0.98953456 
emb_48                              | float64    | 0.0      % | 49888    | Mean: -0.00 | Max: 0.9869557 
emb_49                              | float64    | 0.0      % | 49883    | Mean: 0.00 | Max: 1.0661447 
emb_50                              | float64    | 0.0      % | 49893    | Mean: 0.00 | Max: 1.0723187 
emb_51                              | float64    | 0.0      % | 49889    | Mean: -0.00 | Max: 0.9570452 
emb_52                              | float64    | 0.0      % | 49893    | Mean: 0.01 | Max: 0.9494466 
emb_53                              | float64    | 0.0      % | 49896    | Mean: -0.00 | Max: 1.1434233 
emb_54                              | float64    | 0.0      % | 49884    | Mean: 0.01 | Max: 0.94288296 
emb_55                              | float64    | 0.0      % | 49885    | Mean: -0.00 | Max: 0.9814248 
emb_56                              | float64    | 0.0      % | 49896    | Mean: 0.00 | Max: 0.87561584 
emb_57                              | float64    | 0.0      % | 49893    | Mean: -0.00 | Max: 1.0679001 
emb_58                              | float64    | 0.0      % | 49873    | Mean: -0.01 | Max: 0.9055709 
emb_59                              | float64    | 0.0      % | 49888    | Mean: 0.00 | Max: 1.2543422 
emb_60                              | float64    | 0.0      % | 49892    | Mean: -0.00 | Max: 0.99993163 
emb_61                              | float64    | 0.0      % | 49898    | Mean: 0.01 | Max: 1.0609428 
emb_62                              | float64    | 0.0      % | 49895    | Mean: 0.01 | Max: 0.9577568 
emb_63                              | float64    | 0.0      % | 49881    | Mean: -0.00 | Max: 1.0613133 
emb_64                              | float64    | 0.0      % | 49898    | Mean: -0.00 | Max: 1.0932376 
emb_65                              | float64    | 0.0      % | 49888    | Mean: -0.00 | Max: 1.0177224 
emb_66                              | float64    | 0.0      % | 49895    | Mean: -0.00 | Max: 0.96456563 
emb_67                              | float64    | 0.0      % | 49892    | Mean: -0.00 | Max: 0.79547197 
emb_68                              | float64    | 0.0      % | 49900    | Mean: -0.00 | Max: 0.9648244 
emb_69                              | float64    | 0.0      % | 49890    | Mean: 0.00 | Max: 0.7687104 
emb_70                              | float64    | 0.0      % | 49891    | Mean: 0.00 | Max: 0.98941535 
emb_71                              | float64    | 0.0      % | 49888    | Mean: 0.00 | Max: 0.7398483 
emb_72                              | float64    | 0.0      % | 49887    | Mean: -0.00 | Max: 0.8377445 
emb_73                              | float64    | 0.0      % | 49889    | Mean: 0.00 | Max: 0.7517116 
emb_74                              | float64    | 0.0      % | 49891    | Mean: -0.00 | Max: 0.7625026 
emb_75                              | float64    | 0.0      % | 49885    | Mean: -0.00 | Max: 0.77029955 
emb_76                              | float64    | 0.0      % | 49889    | Mean: 0.00 | Max: 0.8267792 
emb_77                              | float64    | 0.0      % | 49888    | Mean: 0.00 | Max: 1.016062 
emb_78                              | float64    | 0.0      % | 49887    | Mean: 0.01 | Max: 1.0080237 
emb_79                              | float64    | 0.0      % | 49894    | Mean: -0.00 | Max: 0.8768817 
emb_80                              | float64    | 0.0      % | 49890    | Mean: -0.00 | Max: 0.80096173 
emb_81                              | float64    | 0.0      % | 49896    | Mean: 0.00 | Max: 0.91664094 
