Patient & Criteria,Protocol Design,Sponsor & Operations,Therapeutic Landscape,Base Value,Total Log-Odds,Risk Probability
0.06869035,-0.092947885,-0.28977308,-0.29345196,0.00510205,-0.6023805,0.35379925868650347
0.064258456,0.076492086,0.50945324,-0.09190051,0.00510205,0.5634053,0.637240088587006
-0.6194977,-0.15104273,-0.35467276,-0.20824106,0.00510205,-1.3283522,0.20943205914406923
-0.8685898,-0.18830799,-0.27020493,-0.092723824,0.00510205,-1.4147245,0.19548995282247938
0.08355212,-0.16188474,-0.31505132,-0.28307784,0.00510205,-0.6713597,0.3381924441158775
-0.00010624528,-0.085047655,-0.6560584,-0.09491426,0.00510205,-0.8310245,0.3034284828032672
0.23254868,0.10327291,0.516336,0.24435632,0.00510205,1.101616,0.7505627775248379
0.065099955,-0.05909156,-0.58541286,-0.25357255,0.00510205,-0.827875,0.3040945738071304
-0.751529,-0.14091519,-0.54440653,-0.75896376,0.00510205,-2.1907125,0.10058761987120605
-0.93970466,0.037289288,-0.0947225,-0.12904711,0.00510205,-1.121083,0.24581044950977815
-0.83549607,-0.19787374,0.18936422,0.045986656,0.00510205,-0.7929169,0.31154269912490884
-0.7994673,-0.17265421,-0.5000072,-0.8181517,0.00510205,-2.2851782,0.09235795920613336
0.14310582,-0.023174312,-0.032737754,-0.07269852,0.00510205,0.019597284,0.5048991643298363
-0.05708859,0.02821018,0.25798088,-0.1027226,0.00510205,0.13148192,0.5328232066306571
0.1571701,-0.18536627,0.22883931,0.12649599,0.00510205,0.33224115,0.5823045824854469
0.1358299,-0.13302936,0.48560944,0.20545036,0.00510205,0.6989624,0.6679576806340771
0.23881303,0.08376565,0.21319412,0.11444629,0.00510205,0.6553211,0.6582085613741436
0.13587974,-0.06791448,-0.7099377,-0.74688286,0.00510205,-1.3837532,0.20040689888066593
0.12163114,0.051596157,0.45974603,-0.35934237,0.00510205,0.27873302,0.5692355783709125
-0.75926805,-0.17162505,-0.68641937,-0.7809808,0.00510205,-2.393191,0.08369338499351398
0.16870101,-0.0044028284,-0.3010503,0.06432213,0.00510205,-0.06732795,0.48317436886932186
0.034071032,0.05938948,-0.05147042,0.282672,0.00510205,0.3297641,0.5817019771272424
-0.68819976,-0.00216984,-0.37223762,-0.05383864,0.00510205,-1.1113437,0.24762045850616704
0.23006682,-0.13405015,0.26675177,-0.5342719,0.00510205,-0.16640137,0.45849538287775926
-0.10441978,-0.07180929,-0.5811423,-0.41544104,0.00510205,-1.1677104,0.23726908530473456
-0.6926637,-0.1438131,-0.39031187,0.1504095,0.00510205,-1.0712771,0.25516028304065685
0.1314518,0.046714768,-0.3129174,0.08824454,0.00510205,-0.041404236,0.48965041946385396
-0.83722496,-0.18821687,-0.6971131,-0.8036054,0.00510205,-2.521058,0.07439505232744405
0.12807004,0.09425377,-0.40341526,0.19215429,0.00510205,0.01616491,0.5040411395151781
-1.1568345,-0.2843767,-0.12989542,0.015119746,0.00510205,-1.5508848,0.17495850610356162
0.2359461,-0.027527481,-0.057257414,0.24308524,0.00510205,0.39934847,0.5985311123891717
0.20148365,-0.14864318,0.25760567,0.21820636,0.00510205,0.5337545,0.6303583693821363
-0.23858497,-0.19074444,-0.2929195,-0.19035184,0.00510205,-0.9074987,0.2875119496258025
-0.84589887,0.06424022,-0.10958239,0.102044106,0.00510205,-0.78409487,0.3134380195510822
-0.82436234,-0.2470743,-0.3631298,-0.71965456,0.00510205,-2.149119,0.10441358726337573
-0.69395906,0.064697474,-0.50298023,-0.5176315,0.00510205,-1.6447712,0.16181688720002804
0.27282658,-0.009763882,-0.031983122,0.08480413,0.00510205,0.32098573,0.5795644643887405
0.09361905,-0.08083593,-0.29696143,0.13046665,0.00510205,-0.1486096,0.46291582626238154
0.24808365,0.0986948,0.5184619,0.22788706,0.00510205,1.0982295,0.7499282254087454
-0.4354428,-0.07312781,-0.24713573,0.07129183,0.00510205,-0.67931247,0.3364147699799958
0.29538438,-0.11327568,-0.33682585,0.21729635,0.00510205,0.06768124,0.5169138534955029
-0.66166514,0.010656717,-0.71330243,-0.00020364206,0.00510205,-1.3594126,0.20433579473892968
0.11807701,0.07306992,0.49547964,0.24236026,0.00510205,0.9340889,0.717904094970528
-0.009463896,0.029175412,-0.057580568,-0.2848065,0.00510205,-0.31757352,0.4212672137703396
0.24285324,0.13656537,0.4914903,0.26499712,0.00510205,1.141008,0.7578646645122106
0.006845759,-0.08207201,0.40188798,0.039989598,0.00510205,0.37175336,0.5918825851456385
0.28265753,-0.025851494,-0.10314752,0.15773201,0.00510205,0.31649256,0.5784692245264227
0.13412775,-0.10830403,0.50002116,-0.1294355,0.00510205,0.40151143,0.5990507433628081
0.21801172,-0.18713143,0.4319877,0.15476967,0.00510205,0.6227397,0.6508413876290718
-0.9212418,-0.19212395,-0.6350525,-0.73941064,0.00510205,-2.4827266,0.07707801805485479
0.11228446,0.08574188,0.4523146,-0.34111238,0.00510205,0.31433058,0.577941952577047
0.22570056,-0.057601295,0.2213765,0.031591713,0.00510205,0.4261695,0.6049586139218086
0.15125799,0.07785755,0.47052437,0.020774683,0.00510205,0.7255166,0.6738206550948805
-0.13672328,-0.071719326,-0.76805973,0.18968135,0.00510205,-0.78171897,0.3139495271133625
0.090654895,0.024802031,0.036068887,0.16188724,0.00510205,0.3185151,0.5789623261585684
0.0120985005,-0.06396817,0.13328713,-0.19932503,0.00510205,-0.1128055,0.47182849223596735
0.018081196,0.01201204,-0.015408948,0.0391355,0.00510205,0.05892184,0.5147261997425279
0.13622512,-0.0057762074,0.45241296,0.13368815,0.00510205,0.72165203,0.6729707017566151
